Timestamp,HVAC_Status,HVAC_Idle_Power,HVAC_Fault_Log,HVAC_Total_Power,Refrigerator_Status,Refrigerator_Idle_Power,Refrigerator_Fault_Log,Refrigerator_Total_Power,Lights_Status,Lights_Idle_Power,Lights_Fault_Log,Lights_Total_Power,Computers_Status,Computers_Idle_Power,Computers_Fault_Log,Computers_Total_Power,Machinery_Status,Machinery_Idle_Power,Machinery_Fault_Log,Machinery_Total_Power,Printers_Status,Printers_Idle_Power,Printers_Fault_Log,Printers_Total_Power,Water Heater_Status,Water Heater_Idle_Power,Water Heater_Fault_Log,Water Heater_Total_Power
2023-01-01 00:00:00,1,0.0,0.0,3500.0,1,0.0,0.0,200.0,0,7.102021936846953,0.0,7.102021936846953,0,9.288611224536252,0.0,9.288611224536252,0,449.1172895113741,0.0,449.1172895113741,0,15.571640473801923,0.0,15.571640473801923,1,0.0,0.0,4500.0
2023-01-01 01:00:00,0,416.89288889843795,0.0,416.89288889843795,0,21.199379697089345,0.0,21.199379697089345,1,0.0,0.0,60.0,1,0.0,0.0,150.0,0,492.20161787900713,0.0,492.20161787900713,0,38.95101063717252,0.0,38.95101063717252,1,0.0,0.0,4500.0
2023-01-01 02:00:00,0,182.079866981886,0.0,182.079866981886,0,20.302392249914497,0.0,20.302392249914497,1,0.0,0.0,60.0,0,9.558006912249136,0.0,9.558006912249136,1,0.0,0.0,5000.0,1,0.0,0.0,300.0,0,653.8645707371693,0.0,653.8645707371693
2023-01-01 03:00:00,1,0.0,0.0,3500.0,1,0.0,0.0,200.0,0,3.181468006992973,0.0,3.181468006992973,1,0.0,0.0,150.0,0,662.3744311546099,0.0,662.3744311546099,1,0.0,0.0,300.0,0,468.04857151884136,0.0,468.04857151884136
2023-01-01 04:00:00,0,196.3772726491415,0.0,196.3772726491415,1,0.0,0.0,200.0,1,0.0,0.0,60.0,0,7.795827483819278,0.0,7.795827483819278,0,624.9366027872074,0.0,624.9366027872074,0,33.64610543654657,0.0,33.64610543654657,0,462.1088242833179,0.0,462.1088242833179
2023-01-01 05:00:00,0,238.10152122947255,0.0,238.10152122947255,1,0.0,0.0,200.0,1,0.0,0.0,60.0,0,7.971074366197334,0.0,7.971074366197334,1,0.0,0.0,5000.0,0,37.46463264375912,0.0,37.46463264375912,0,499.97315551413436,0.0,499.97315551413436
2023-01-01 06:00:00,0,183.60082842997807,0.0,183.60082842997807,0,20.17611182392504,0.0,20.17611182392504,0,3.8158556200501828,0.0,3.8158556200501828,1,0.0,0.0,150.0,0,664.6717380092998,0.0,664.6717380092998,1,0.0,0.0,300.0,0,567.2387451318342,0.0,567.2387451318342
2023-01-01 07:00:00,1,0.0,0.0,3500.0,1,0.0,0.0,200.0,0,3.2186078085126972,0.0,3.2186078085126972,0,22.042754990445676,0.0,22.042754990445676,0,308.1320530606284,0.0,308.1320530606284,1,0.0,0.0,300.0,1,0.0,0.0,4500.0
2023-01-01 08:00:00,1,0.0,0.0,3500.0,1,0.0,0.0,200.0,0,6.9238187684376555,0.0,6.9238187684376555,1,0.0,0.0,150.0,0,326.8922389397995,0.0,326.8922389397995,0,36.78454680508659,0.0,36.78454680508659,0,619.2544997440397,0.0,619.2544997440397
2023-01-01 09:00:00,1,0.0,0.0,3500.0,1,0.0,0.0,200.0,0,6.034843367726735,0.0,6.034843367726735,0,18.101466128933865,0.0,18.101466128933865,1,0.0,0.0,5000.0,0,25.31044847430358,0.0,25.31044847430358,0,305.01401979438907,0.0,305.01401979438907
