Timestamp,Total_Consumption_kWh,HVAC,Lighting,Machinery,Computers,Refrigeration,Date,Month,Daily_Consumption_kWh,Monthly_Consumption_kWh
1/1/2023 0:00,8.87,1.59,0.77,3.48,1.39,1.64,1/1/2023,2023-01,268.36,8306.69
1/1/2023 1:00,8.25,2.44,0.7,2.15,1.29,1.67,1/1/2023,2023-01,268.36,8306.69
1/1/2023 2:00,8.1,1.51,0.84,3.12,0.96,1.67,1/1/2023,2023-01,268.36,8306.69
1/1/2023 3:00,8.17,1.69,0.79,3,1.24,1.45,1/1/2023,2023-01,268.36,8306.69
1/1/2023 4:00,7.85,1.98,0.71,2.13,1.14,1.89,1/1/2023,2023-01,268.36,8306.69
1/1/2023 5:00,7.31,1.65,0.68,2.15,0.91,1.92,1/1/2023,2023-01,268.36,8306.69
1/1/2023 6:00,8.86,2.15,0.63,2.98,1.08,2.02,1/1/2023,2023-01,268.36,8306.69
1/1/2023 7:00,7.97,1.76,0.56,2.51,1.38,1.76,1/1/2023,2023-01,268.36,8306.69
1/1/2023 8:00,14.81,3.46,1.25,5.47,1.91,2.72,1/1/2023,2023-01,268.36,8306.69
1/1/2023 9:00,14.81,3.51,1.31,4.77,2.08,3.14,1/1/2023,2023-01,268.36,8306.69
1/1/2023 10:00,14.65,3.84,1.2,4.66,2.19,2.76,1/1/2023,2023-01,268.36,8306.69
1/1/2023 11:00,13.93,3.38,1.14,4.87,1.83,2.71,1/1/2023,2023-01,268.36,8306.69
1/1/2023 12:00,15.31,3.39,1.09,5.46,2.1,3.27,1/1/2023,2023-01,268.36,8306.69
1/1/2023 13:00,14.93,3.52,1.08,5.36,2.17,2.8,1/1/2023,2023-01,268.36,8306.69
1/1/2023 14:00,14.92,3.48,1.32,5.14,2.14,2.84,1/1/2023,2023-01,268.36,8306.69
1/1/2023 15:00,14.23,3.5,1.1,4.68,2.05,2.9,1/1/2023,2023-01,268.36,8306.69
1/1/2023 16:00,14.75,3.83,1.21,4.76,2.06,2.89,1/1/2023,2023-01,268.36,8306.69
1/1/2023 17:00,14.69,3.57,1.14,4.85,2.15,2.98,1/1/2023,2023-01,268.36,8306.69
1/1/2023 18:00,15.27,3.82,1.3,5.36,1.94,2.85,1/1/2023,2023-01,268.36,8306.69
1/1/2023 19:00,8.33,2.17,0.79,2.42,1.14,1.81,1/1/2023,2023-01,268.36,8306.69
1/1/2023 20:00,8.42,2.16,0.68,2.82,0.97,1.79,1/1/2023,2023-01,268.36,8306.69
1/1/2023 21:00,8.33,1.89,0.78,2.99,0.96,1.71,1/1/2023,2023-01,268.36,8306.69
1/1/2023 22:00,7.24,1.67,0.5,2.43,1.21,1.43,1/1/2023,2023-01,268.36,8306.69
1/1/2023 23:00,8.36,1.44,0.62,3.25,1.21,1.84,1/1/2023,2023-01,268.36,8306.69
1/2/2023 0:00,8.14,1.97,0.56,2.36,1.31,1.94,1/2/2023,2023-01,266.85,8306.69
1/2/2023 1:00,7.36,1.41,0.53,2.45,1.2,1.77,1/2/2023,2023-01,266.85,8306.69
1/2/2023 2:00,8.06,2.29,0.63,2.68,1.03,1.43,1/2/2023,2023-01,266.85,8306.69
1/2/2023 3:00,7.64,1.73,0.77,2.03,1.19,1.92,1/2/2023,2023-01,266.85,8306.69
1/2/2023 4:00,8.42,2.4,0.71,2.82,0.97,1.52,1/2/2023,2023-01,266.85,8306.69
1/2/2023 5:00,8.05,1.46,0.56,3.13,1.14,1.76,1/2/2023,2023-01,266.85,8306.69
1/2/2023 6:00,8.34,1.49,0.72,3.48,1.38,1.27,1/2/2023,2023-01,266.85,8306.69
1/2/2023 7:00,8.42,2.26,0.7,3.12,1,1.34,1/2/2023,2023-01,266.85,8306.69
1/2/2023 8:00,14.76,3.27,1.17,5.18,1.92,3.22,1/2/2023,2023-01,266.85,8306.69
1/2/2023 9:00,14.55,3.23,1.23,5.29,2.06,2.74,1/2/2023,2023-01,266.85,8306.69
1/2/2023 10:00,14.86,3.67,1.22,4.97,2.13,2.87,1/2/2023,2023-01,266.85,8306.69
1/2/2023 11:00,15.26,3.64,1.24,5.49,2.11,2.78,1/2/2023,2023-01,266.85,8306.69
1/2/2023 12:00,14.54,3.36,1.25,5.31,1.84,2.78,1/2/2023,2023-01,266.85,8306.69
1/2/2023 13:00,15.03,3.38,1.14,5.41,1.86,3.24,1/2/2023,2023-01,266.85,8306.69
